Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Price
Suburb_13,4,h,SP,Agent_1,Northern Metro,13341,2.2,Council_5,5,3,0,236.1,,,673575
Suburb_6,3,u,VB,Agent_24,Eastern Victoria,1975,14.2,Council_19,2,1,1,491.3,227,,475342
Suburb_20,2,u,S,Agent_2,Eastern Victoria,7409,4.6,Council_11,3,2,0,88.4,234.1,,552946
Suburb_21,1,u,PI,Agent_1,South-Eastern Metro,6249,12.2,Council_16,1,2,0,530,,1941,306542
Suburb_27,3,h,VB,Agent_11,Northern Victoria,11290,4.6,Council_18,4,1,2,611.2,,1954,634261
Suburb_13,2,h,SP,Agent_19,Western Metro,3479,5.9,Council_17,1,3,3,596.2,95.7,1975,480328
Suburb_39,3,h,SP,Agent_3,Northern Victoria,7529,3.7,Council_2,2,1,0,,142.8,1919,595915
Suburb_21,4,h,SP,Agent_8,Northern Victoria,12822,12.3,Council_3,4,1,2,,,,624162
Suburb_12,3,h,PI,Agent_7,Southern Metro,7242,13.4,Council_9,3,2,2,661.2,,1918,778731
Suburb_39,3,h,SP,Agent_10,Northern Metro,11828,4.7,Council_8,3,1,2,436.6,,1924,397090
Suburb_37,1,h,SP,Agent_25,Eastern Metro,9517,2.6,Council_16,0,3,0,413.8,,2016,554746
Suburb_20,4,h,PI,Agent_9,Western Metro,9162,16.4,Council_4,4,1,2,,192.2,,743061
Suburb_1,3,h,S,Agent_6,Southern Metro,4260,5.1,Council_8,4,1,0,214.7,,1968,581799
Suburb_24,1,t,PI,Agent_4,Northern Metro,14891,7,Council_5,2,1,0,824.1,,1952,305176
Suburb_23,2,h,S,Agent_5,Eastern Victoria,4122,4.2,Council_4,,1,1,153.6,94.2,1931,550945
Suburb_6,4,t,S,Agent_4,Eastern Metro,13999,11.6,Council_4,4,1,3,696.4,113.4,,403521
Suburb_26,5,t,SP,Agent_15,Northern Victoria,14845,11.8,Council_5,5,2,0,712.4,,1993,751252
Suburb_34,3,h,SP,Agent_11,Northern Victoria,7915,17.9,Council_12,3,1,3,346.9,81.6,1901,388328
Suburb_5,5,u,S,Agent_13,South-Eastern Metro,13100,14.4,Council_9,6,1,3,134.8,,2005,501594
Suburb_29,1,h,SA,Agent_21,South-Eastern Metro,10868,13.8,Council_10,1,1,3,0,152.8,1922,571740
Suburb_6,2,u,SP,Agent_15,Eastern Metro,11197,7.4,Council_11,3,1,1,315.5,,,301063
Suburb_30,5,h,SA,Agent_4,Eastern Victoria,1493,6.9,Council_16,6,2,0,657.9,106.1,2015,884894
Suburb_17,1,h,SA,Agent_10,Eastern Metro,2488,11.5,Council_19,0,3,0,176.7,,2011,331203
Suburb_1,4,h,SA,Agent_8,Eastern Victoria,1509,7.2,Council_12,5,1,3,529.1,,,762789
Suburb_39,2,h,SA,Agent_21,Western Metro,938,14.7,Council_14,1,3,0,,118.8,2008,405295
Suburb_7,2,t,S,Agent_8,Northern Metro,12621,4,Council_16,2,3,2,429.8,,,687586
Suburb_24,3,u,SP,Agent_4,Eastern Victoria,3043,2.1,Council_15,3,,,155.9,177.4,,685760
Suburb_8,2,u,VB,Agent_19,Northern Metro,591,10.8,Council_3,2,2,3,,280.4,2007,
Suburb_38,5,t,PI,Agent_11,Eastern Victoria,14097,5.5,Council_21,5,2,2,,166.7,,878849
Suburb_30,5,u,S,Agent_3,Northern Metro,4541,3.6,Council_4,4,2,2,,,2000,886502
Suburb_33,3,h,PI,Agent_18,Southern Metro,12336,24.2,Council_9,2,1,3,,219.8,2011,473124
Suburb_18,3,u,SA,Agent_6,Northern Victoria,14427,7.8,Council_14,4,2,3,219.8,137.8,1976,547371
Suburb_19,1,h,SA,Agent_22,Western Victoria,8084,3,Council_9,2,1,1,105.8,,1914,544238
Suburb_26,2,h,SP,Agent_21,Western Metro,13937,5.1,Council_6,,3,2,824.8,,1925,686614
Suburb_32,1,h,SP,Agent_10,Northern Metro,14547,6.5,Council_20,1,2,2,,,1920,429609
Suburb_34,5,t,SP,Agent_14,Southern Metro,2592,10.6,Council_2,6,1,3,0,193.3,1963,736758
Suburb_1,2,h,SP,Agent_15,Western Victoria,2625,5.1,Council_6,2,2,1,,114.4,,498524
Suburb_27,2,h,SP,Agent_17,South-Eastern Metro,5864,7.1,Council_21,1,3,1,774.4,,,
Suburb_5,5,h,SP,Agent_2,Northern Metro,8607,9.2,Council_16,4,3,3,,,,786523
Suburb_12,4,h,PI,Agent_9,Western Metro,11897,10.2,Council_2,3,1,3,,216.8,1919,736516
Suburb_34,4,h,S,Agent_5,Eastern Metro,3156,7.4,Council_16,4,3,2,243,203.7,1973,670780
Suburb_11,1,u,SP,Agent_18,Southern Metro,3304,20.1,Council_21,,1,0,651,154.5,,422337
Suburb_32,3,u,SP,Agent_2,Eastern Victoria,4943,11.7,Council_3,2,1,1,811,,2008,749824
Suburb_19,3,h,S,Agent_13,Northern Victoria,4435,11.3,Council_9,3,,1,,,,657257
Suburb_10,2,h,SA,Agent_19,Southern Metro,14131,11.1,Council_10,1,3,2,87.7,53.6,1958,443181
Suburb_14,4,h,VB,Agent_24,South-Eastern Metro,6241,14.7,Council_3,4,3,2,217.3,65.1,,753476
Suburb_22,5,h,SA,Agent_8,Western Metro,13090,8.8,Council_5,5,2,3,851,,1966,628502
Suburb_31,2,h,PI,Agent_1,Northern Metro,1310,3.9,Council_4,1,3,0,,145.4,,
Suburb_25,2,u,S,Agent_19,Western Metro,1976,9.9,Council_4,2,1,1,792.7,,1950,362651
Suburb_38,2,h,SA,Agent_1,Southern Metro,12152,10.7,Council_9,1,1,2,370.9,117.4,,
Suburb_35,5,h,PI,Agent_2,Southern Metro,4118,16,Council_10,6,3,3,542.4,,1984,881569
Suburb_31,1,h,VB,Agent_25,Western Victoria,1698,3.7,Council_5,2,3,0,,,1961,488440
Suburb_25,5,h,SP,Agent_22,South-Eastern Metro,9120,4.3,Council_7,6,1,3,317.5,178.3,1912,715217
Suburb_12,4,h,PI,Agent_18,Southern Metro,2635,8,Council_5,5,1,0,237.4,144.2,2016,651815
Suburb_17,3,t,PI,Agent_21,Eastern Victoria,1389,11.3,Council_17,2,2,0,567.7,,,746540
Suburb_5,3,u,SP,Agent_2,Northern Victoria,6388,3.2,Council_5,4,1,3,528,,1942,357469
Suburb_15,5,t,PI,Agent_3,Eastern Victoria,8476,3.7,Council_20,4,3,3,,,1976,905301
Suburb_38,4,t,VB,Agent_8,South-Eastern Metro,8146,12.8,Council_12,,3,3,352.8,62.5,,598102
Suburb_18,2,h,S,Agent_1,Eastern Metro,8975,3.3,Council_17,3,1,2,220.9,57.3,,400338
Suburb_5,1,t,S,Agent_23,Northern Victoria,842,4.3,Council_14,2,1,2,,331.6,1948,475535
Suburb_27,4,h,SA,Agent_2,Northern Victoria,4719,13.3,Council_6,5,3,2,191.1,238.7,1948,629342
Suburb_39,1,h,PI,Agent_14,South-Eastern Metro,5480,11.2,Council_13,2,2,2,823.5,,2017,424843
Suburb_35,1,h,SA,Agent_22,Southern Metro,4750,5.1,Council_6,2,1,2,,,,386352
Suburb_11,5,h,VB,Agent_19,Eastern Metro,8606,10.4,Council_3,4,1,1,402.2,150.6,2002,763096
Suburb_19,3,h,VB,Agent_6,Southern Metro,3821,9.3,Council_6,2,3,3,638.7,,,586565
Suburb_22,4,h,SA,Agent_12,Eastern Metro,9663,7.2,Council_6,5,3,1,477.1,,1979,604688
Suburb_10,2,u,VB,Agent_14,Southern Metro,14067,6.1,Council_3,1,1,2,,114.7,,630943
Suburb_11,1,u,SP,Agent_20,Northern Metro,10080,10.2,Council_1,1,3,2,181.6,,,649474
Suburb_10,1,h,PI,Agent_11,Western Victoria,6138,3.5,Council_20,0,1,2,817.3,200.4,1950,353001
Suburb_40,2,h,SP,Agent_8,Northern Metro,6803,10.1,Council_11,2,1,2,,91.8,,441143
Suburb_30,1,u,SP,Agent_20,Western Victoria,8986,8.8,Council_9,2,2,0,,,,316490
Suburb_34,3,h,VB,Agent_23,Northern Metro,10997,9.2,Council_20,4,2,1,,,1971,714310
Suburb_33,2,h,S,Agent_13,Eastern Victoria,4872,4.2,Council_5,2,3,1,,115.7,,552326
Suburb_39,3,h,VB,Agent_1,Eastern Metro,1056,16.3,Council_9,3,3,1,237.7,154.8,1980,378932
Suburb_5,3,h,PI,Agent_13,Northern Victoria,10688,5.1,Council_18,3,1,3,156.5,174.1,,450515
Suburb_36,2,h,SP,Agent_23,Eastern Metro,10092,5.7,Council_14,2,2,3,800,173.5,2016,555795
Suburb_3,3,u,S,Agent_25,Western Metro,1970,7,Council_9,3,3,2,0,,1926,761398
Suburb_20,1,u,VB,Agent_11,Western Metro,9585,11.2,Council_6,2,2,1,,,1970,264221
Suburb_24,2,u,SA,Agent_4,Northern Victoria,1538,9,Council_1,1,1,0,536,116.9,,520087
Suburb_15,5,h,VB,Agent_15,Western Metro,9824,2.5,Council_2,5,1,3,,,1983,782986
Suburb_6,5,u,PI,Agent_21,Northern Victoria,11292,7.8,Council_4,5,2,3,666.2,,1915,
Suburb_8,3,u,VB,Agent_24,Eastern Victoria,725,8.2,Council_17,3,2,1,246.2,143.1,1991,635881
Suburb_33,5,h,PI,Agent_2,Western Metro,11036,16.5,Council_14,4,2,3,958.8,,1923,813106
Suburb_13,3,h,SP,Agent_8,Eastern Metro,2246,6.4,Council_10,2,1,3,,67.2,1949,405595
Suburb_13,1,h,SP,Agent_12,Southern Metro,4342,10.6,Council_17,1,1,2,579.6,,1985,392502
Suburb_37,5,h,SP,Agent_3,Eastern Metro,10720,30.5,Council_4,6,2,,,,1931,625135
Suburb_6,3,h,SA,Agent_23,Southern Metro,5648,14.9,Council_5,4,3,0,,39.8,1915,390750
Suburb_37,4,h,VB,Agent_3,Southern Metro,14667,4.1,Council_9,5,2,3,,133.8,,670464
Suburb_37,4,h,S,Agent_17,Western Victoria,14380,12,Council_20,5,2,2,345.8,248.8,1933,791137
Suburb_24,2,h,SA,Agent_23,Northern Metro,14810,10.1,Council_13,2,3,0,,183.1,,610337
Suburb_7,4,h,S,Agent_18,Western Metro,2012,6.3,Council_18,3,3,0,0,37.8,,742574
Suburb_7,3,t,PI,Agent_20,Eastern Victoria,3056,12.1,Council_6,3,3,3,600.5,189.5,1941,651741
Suburb_12,2,h,S,Agent_7,Western Victoria,3155,4,Council_18,3,2,1,376.4,105.1,,581845
Suburb_24,2,h,SP,Agent_21,Southern Metro,8987,5.2,Council_2,2,3,1,844.9,191.5,,650509
Suburb_7,4,h,VB,Agent_11,Southern Metro,6735,7.1,Council_5,5,,2,486.8,,,575441
Suburb_19,2,u,SA,Agent_2,Eastern Metro,11314,6.1,Council_11,1,2,1,,146.8,1929,
Suburb_5,1,h,SA,Agent_10,Northern Victoria,4590,11.4,Council_2,,,3,652.3,,,384234
Suburb_22,5,t,SA,Agent_9,Western Victoria,3396,7.6,Council_19,4,3,2,461.7,150.2,1994,786704
Suburb_1,2,h,SP,Agent_14,Southern Metro,9910,5.7,Council_19,1,,1,736.3,,,
Suburb_29,4,h,S,Agent_7,Southern Metro,9450,14.8,Council_12,4,1,1,,,1998,788591
Suburb_3,4,h,SA,Agent_12,Eastern Metro,10513,11.1,Council_7,4,3,3,,,1975,765712
Suburb_8,5,h,SA,Agent_11,Eastern Victoria,5024,2.9,Council_3,5,1,2,0,179.4,1980,
Suburb_7,4,u,SP,Agent_9,Northern Metro,8132,2.9,Council_13,3,2,3,,160.5,1945,619306
Suburb_34,4,u,S,Agent_18,Western Metro,13961,5.8,Council_12,4,3,1,,53,1928,640748
Suburb_3,5,h,VB,Agent_8,Northern Metro,9362,3.2,Council_16,4,2,0,123.2,,1983,1038156
Suburb_18,5,t,S,Agent_20,Southern Metro,14021,13.5,Council_13,,1,3,,139.4,1906,560841
Suburb_24,1,h,S,Agent_7,Western Victoria,6784,5.4,Council_3,0,2,0,,159.7,,584592
Suburb_21,4,h,SA,Agent_22,Northern Metro,1150,10.6,Council_3,3,2,,282.3,,1916,872890
Suburb_28,1,h,PI,Agent_10,Eastern Metro,11525,11.9,Council_17,0,2,2,0,169.7,1900,
Suburb_33,5,h,S,Agent_2,Western Victoria,7176,1.9,Council_4,4,1,0,329.3,,1900,818521
Suburb_16,1,u,VB,Agent_4,Northern Victoria,1110,5.5,Council_20,1,2,3,1123.4,,1911,270543
Suburb_34,2,h,SP,Agent_21,Northern Metro,2511,6.9,Council_3,2,1,0,241,212.1,,549218
Suburb_13,1,h,PI,Agent_22,Western Metro,5036,9.2,Council_16,1,2,1,261.7,,1992,448704
Suburb_40,4,h,SA,Agent_6,Western Victoria,3269,13,Council_21,4,3,1,200.7,180.5,2018,
Suburb_21,1,h,SP,Agent_16,Western Metro,10424,24.8,Council_10,0,3,2,864.4,,1910,284109
Suburb_30,1,h,VB,Agent_15,Northern Victoria,9361,19,Council_2,0,2,2,,,2019,231009
Suburb_36,3,u,SA,Agent_4,Northern Victoria,5279,7.6,Council_19,4,3,,312.2,193.3,1971,
Suburb_32,5,h,PI,Agent_12,South-Eastern Metro,1727,7.5,Council_4,6,1,1,,,1995,690752
Suburb_35,3,h,SA,Agent_18,Southern Metro,1638,17.9,Council_12,2,3,2,673.8,,,592703
Suburb_22,3,h,PI,Agent_25,Eastern Victoria,14211,7.8,Council_21,2,2,0,224.2,,1931,
Suburb_2,4,h,PI,Agent_22,Western Victoria,5502,5.5,Council_16,3,3,2,,104.4,1988,636553
Suburb_20,3,h,SA,Agent_3,Southern Metro,2055,13.6,Council_1,2,3,,847.5,,,503857
Suburb_8,2,u,VB,Agent_6,Eastern Victoria,10816,9.5,Council_18,1,2,0,505,22.3,,399389
Suburb_36,3,t,SA,Agent_11,Eastern Victoria,13114,2.8,Council_4,3,2,2,35.3,57,,645868
Suburb_10,1,h,VB,Agent_4,South-Eastern Metro,2268,6.5,Council_16,2,3,0,0,269.1,1925,479235
Suburb_10,2,t,VB,Agent_15,Eastern Metro,14201,3.3,Council_14,3,1,3,,,1922,292825
Suburb_10,4,h,SP,Agent_1,Western Metro,11007,1.1,Council_7,5,,0,,264.2,2010,
Suburb_26,2,h,SP,Agent_3,Eastern Victoria,4154,20.4,Council_9,2,2,0,0,,1987,365974
Suburb_23,1,u,SA,Agent_2,Southern Metro,11744,8.5,Council_3,1,2,3,170.1,,1967,483203
Suburb_38,1,u,VB,Agent_8,Eastern Victoria,6589,6.6,Council_21,1,3,0,224.3,,1983,400364
Suburb_17,5,u,SP,Agent_20,Western Victoria,9711,5.7,Council_6,4,1,3,361.2,,,852199
Suburb_12,2,h,SP,Agent_5,South-Eastern Metro,2340,7.9,Council_7,2,2,1,,263.5,,623206
Suburb_2,1,h,VB,Agent_25,Eastern Metro,4041,5.7,Council_11,0,1,3,419.9,243.5,2013,397280
Suburb_1,4,h,S,Agent_7,Northern Victoria,11714,4.1,Council_15,4,1,3,449.7,166.5,2018,678319
Suburb_15,3,h,S,Agent_2,Northern Metro,12176,5.9,Council_11,2,3,,652.8,,1925,
Suburb_38,3,u,VB,Agent_9,Western Victoria,658,16.9,Council_11,4,,1,428.8,92.6,1996,413491
Suburb_21,5,h,SP,Agent_19,Eastern Metro,3609,13.4,Council_13,,3,2,620,,1953,514857
Suburb_36,2,h,VB,Agent_3,Northern Metro,9309,5.9,Council_19,3,1,3,584.2,226.7,1984,637785
Suburb_5,3,h,PI,Agent_2,Eastern Victoria,13634,21.6,Council_9,2,,,536.8,,1913,579436
Suburb_4,4,h,SA,Agent_22,South-Eastern Metro,10277,7.5,Council_18,3,,,,,,797780
Suburb_34,4,h,PI,Agent_15,Northern Victoria,10746,4.7,Council_17,5,1,1,773.3,131.8,1914,624450
Suburb_5,2,h,SA,Agent_9,Northern Metro,6135,9.7,Council_21,3,3,0,175.5,,,496159
Suburb_3,4,h,SA,Agent_19,Eastern Victoria,1293,18.4,Council_20,4,3,1,611.1,,1947,578629
Suburb_17,4,h,SP,Agent_22,South-Eastern Metro,11605,16.4,Council_17,3,2,0,,153.1,1931,629922
Suburb_37,1,h,SA,Agent_9,Eastern Victoria,12089,4.9,Council_6,1,2,3,,177.8,1983,481810
Suburb_28,1,h,VB,Agent_15,Eastern Victoria,6927,3.6,Council_17,1,1,3,,,,464133
Suburb_4,4,u,S,Agent_1,Southern Metro,7843,6.3,Council_16,5,3,0,167.7,111.8,,812184
Suburb_34,1,h,S,Agent_8,Southern Metro,3908,10.7,Council_7,1,3,2,603.2,107.2,1986,247079
Suburb_34,5,h,SP,Agent_15,Western Victoria,7063,12.4,Council_15,,3,2,,235,1982,784829
Suburb_33,1,h,S,Agent_5,Northern Victoria,4008,15.1,Council_6,2,3,2,,264.9,1958,479614
Suburb_37,5,t,SP,Agent_25,Western Metro,6597,8.7,Council_11,6,2,3,756.2,,1996,674650
Suburb_10,4,u,SA,Agent_25,Eastern Metro,2443,8.9,Council_17,3,3,2,612.1,133.9,1915,592290
Suburb_40,3,h,PI,Agent_7,South-Eastern Metro,9296,8.6,Council_4,2,1,2,551.7,114,2005,645739
Suburb_13,2,h,S,Agent_10,Eastern Victoria,4089,14,Council_8,1,3,0,348.9,150.1,1948,484026
Suburb_33,2,h,PI,Agent_5,Northern Metro,11006,12.5,Council_17,3,1,0,743.9,117,,
Suburb_24,4,t,SP,Agent_13,Northern Victoria,8007,4.8,Council_10,4,2,2,807.5,,,673813
Suburb_32,4,h,SA,Agent_4,Western Victoria,13491,11.7,Council_21,4,1,3,481.1,,,721161
Suburb_26,2,h,S,Agent_10,Eastern Metro,3706,13.5,Council_1,3,1,,464.9,,1997,388738
Suburb_26,3,t,VB,Agent_14,Eastern Metro,4457,14.1,Council_16,2,2,2,977.4,138.6,,464411
Suburb_25,5,u,PI,Agent_16,Western Victoria,4024,9.5,Council_18,4,2,,,138.9,1990,855142
Suburb_32,2,h,S,Agent_15,Northern Metro,9646,9.2,Council_20,3,1,1,522.7,130.9,,427421
Suburb_30,4,h,VB,Agent_6,Western Metro,2049,7.7,Council_4,4,3,3,645.3,123.5,2008,
Suburb_6,1,h,PI,Agent_20,Western Metro,10451,8.2,Council_21,0,1,2,470.7,195.7,1944,471810
Suburb_34,5,h,VB,Agent_18,Eastern Victoria,12376,19.8,Council_9,,3,0,,43.8,,779635
Suburb_22,1,h,VB,Agent_19,Southern Metro,10284,8.4,Council_8,0,1,3,,244.5,1984,371688
Suburb_13,2,t,VB,Agent_12,Western Metro,2452,5,Council_8,3,2,3,488.4,158.1,1930,519149
Suburb_21,3,t,PI,Agent_23,Southern Metro,7648,9.6,Council_14,4,1,1,,,1925,648821
Suburb_39,2,h,S,Agent_10,Eastern Victoria,8235,12.3,Council_14,3,3,1,736.5,193.5,,
Suburb_35,1,h,S,Agent_21,South-Eastern Metro,6169,13.8,Council_10,1,3,2,321.4,107.5,1977,525271
Suburb_34,4,h,PI,Agent_6,Western Metro,7261,4.1,Council_2,3,1,3,718.7,95.1,1914,655394
Suburb_19,1,h,SP,Agent_7,Western Metro,11554,17.5,Council_21,2,1,1,,,1915,291875
Suburb_32,5,u,VB,Agent_14,Southern Metro,12601,12,Council_5,5,2,0,892.8,135.2,1999,732345
Suburb_16,1,h,PI,Agent_14,Western Victoria,4850,17,Council_2,1,3,0,342.7,192,1920,347554
Suburb_28,2,h,SA,Agent_19,South-Eastern Metro,5282,3.1,Council_13,1,1,3,,115,1926,351814
Suburb_26,5,h,S,Agent_8,Eastern Metro,3516,14.4,Council_9,5,1,3,470.3,,,558241
Suburb_10,1,h,SP,Agent_22,Western Metro,6325,3.9,Council_13,1,2,3,517.5,,2003,213987
Suburb_11,1,h,VB,Agent_9,South-Eastern Metro,8414,6.7,Council_19,0,1,0,,,,474704
Suburb_3,4,u,S,Agent_14,South-Eastern Metro,10846,12.2,Council_3,5,1,0,,220,1979,808636
Suburb_6,1,u,SP,Agent_24,Western Metro,4380,3.7,Council_6,0,1,1,625.4,,1984,375260
Suburb_18,5,h,VB,Agent_14,Eastern Metro,3636,5.7,Council_11,6,2,0,,100.3,1972,648295
Suburb_20,3,u,PI,Agent_18,South-Eastern Metro,981,3.1,Council_17,4,3,1,,,,717785
Suburb_7,5,h,VB,Agent_23,South-Eastern Metro,1861,12,Council_13,5,2,2,376.4,,1927,609703
Suburb_17,2,u,PI,Agent_25,Northern Victoria,1247,4.7,Council_9,1,1,1,736.8,,1974,491930
Suburb_25,1,h,SA,Agent_13,Northern Metro,3506,8.1,Council_13,1,2,0,261.7,213.4,,425412
Suburb_10,5,h,SA,Agent_11,Western Metro,10577,10.2,Council_21,5,2,1,825.5,115,1987,642860
Suburb_14,4,t,SA,Agent_5,Northern Victoria,11725,9.5,Council_11,4,1,2,,122.1,,617956
Suburb_15,5,h,S,Agent_14,Western Victoria,14610,9,Council_19,4,1,2,877.2,20,1995,595819
Suburb_21,2,h,PI,Agent_23,Northern Victoria,8403,9,Council_17,2,1,1,613,,,457095
Suburb_15,3,h,S,Agent_13,Eastern Metro,7092,3.2,Council_7,2,3,1,,221.4,,810673
Suburb_30,3,h,SP,Agent_9,Northern Victoria,13541,6.9,Council_6,3,3,2,532.8,,,543842
Suburb_14,3,h,SP,Agent_3,Southern Metro,2632,9,Council_17,,1,0,,72.2,1909,
Suburb_18,2,h,VB,Agent_10,Northern Metro,9638,8.4,Council_5,2,1,3,332,112.2,1964,385255
Suburb_16,2,u,PI,Agent_6,South-Eastern Metro,12362,7.4,Council_8,3,2,3,899.9,148.2,,518569
Suburb_8,4,h,SA,Agent_25,Western Victoria,7787,5.1,Council_5,5,,,674,78.2,,588744
Suburb_28,1,h,SP,Agent_14,Eastern Victoria,4290,9.4,Council_13,2,3,3,,29.8,1989,463448
Suburb_10,2,h,VB,Agent_4,Northern Victoria,9502,10.5,Council_7,3,3,0,,140.4,1965,450348
Suburb_12,2,u,VB,Agent_2,Northern Metro,14936,6.1,Council_14,3,1,1,529.2,,,471375
Suburb_32,1,h,SA,Agent_22,Western Victoria,3921,13.9,Council_20,0,1,2,171.8,185.5,,320892
Suburb_38,1,h,SP,Agent_24,Western Metro,8667,17.7,Council_18,0,1,,250.9,202.5,1931,339444
Suburb_27,3,h,VB,Agent_20,Eastern Metro,1236,8.2,Council_20,3,2,0,946.3,,1914,
Suburb_37,1,u,S,Agent_4,Western Victoria,3873,4.8,Council_1,1,3,0,1047.5,153.5,,537457
Suburb_35,2,u,PI,Agent_3,South-Eastern Metro,11622,3.7,Council_10,3,2,2,802.8,,2008,631673
Suburb_20,3,h,PI,Agent_5,South-Eastern Metro,7692,6.7,Council_5,2,1,0,895.8,,1968,485725
Suburb_31,5,u,SA,Agent_19,Eastern Metro,3388,7.8,Council_20,4,1,1,,,,709773
Suburb_14,1,h,VB,Agent_20,Western Victoria,5363,3.5,Council_15,2,1,1,,,1943,439336
Suburb_19,3,h,SA,Agent_21,Western Metro,2253,6.5,Council_7,4,1,3,598.7,20,2003,549683
Suburb_22,1,h,SA,Agent_3,Northern Victoria,11802,13.5,Council_12,0,2,3,,219.7,1979,268813
Suburb_39,3,h,PI,Agent_4,Eastern Victoria,14171,1.7,Council_13,2,2,3,720.8,169.8,1992,560474
Suburb_34,3,h,VB,Agent_23,South-Eastern Metro,2034,8.5,Council_11,3,1,2,277.5,,,274710
Suburb_20,4,h,S,Agent_24,Southern Metro,3950,5.6,Council_10,4,1,2,719.6,178.4,2019,761530
Suburb_27,3,h,PI,Agent_19,Eastern Metro,12926,8,Council_2,2,3,1,,123.2,,
Suburb_9,5,h,S,Agent_3,Eastern Metro,13240,18.3,Council_10,5,3,0,438.1,,,612941
Suburb_33,1,h,VB,Agent_2,Western Victoria,11626,7.7,Council_8,2,2,3,406,,1930,352304
Suburb_23,1,u,SA,Agent_2,South-Eastern Metro,10868,7.1,Council_18,2,2,,643,,,724024
Suburb_22,1,u,VB,Agent_18,Eastern Metro,12989,11.6,Council_19,2,2,1,305.1,,1992,329261
Suburb_31,2,h,SA,Agent_22,South-Eastern Metro,5915,9.5,Council_16,2,2,0,105,,2011,
Suburb_26,1,h,SP,Agent_16,South-Eastern Metro,13477,8.5,Council_1,2,1,1,844.3,,1979,
Suburb_3,1,h,SA,Agent_7,Western Metro,13355,9.7,Council_18,0,2,2,364.7,139.3,,389153
Suburb_12,2,h,PI,Agent_19,Western Metro,3831,15.5,Council_9,1,3,1,,,,395043
Suburb_8,5,h,VB,Agent_2,Western Victoria,1558,13,Council_9,4,2,2,,191.5,,747881
Suburb_30,5,h,VB,Agent_21,Northern Victoria,8054,6.8,Council_20,,3,0,883,109.9,,843011
Suburb_2,1,u,VB,Agent_23,Southern Metro,11495,17.7,Council_19,1,2,0,756,121.9,,340455
Suburb_9,5,h,SP,Agent_18,South-Eastern Metro,12823,5.9,Council_2,4,1,3,427.8,,1936,742476
Suburb_24,2,h,VB,Agent_22,Northern Victoria,2565,8.5,Council_8,3,2,,,57.5,2003,431226
Suburb_28,3,h,VB,Agent_15,Northern Victoria,5972,9.1,Council_16,2,3,,395.9,163.3,2012,710262
Suburb_21,2,u,SA,Agent_12,South-Eastern Metro,11633,6.6,Council_12,2,2,1,671,,,508349
Suburb_35,3,h,PI,Agent_9,Western Victoria,1375,16.7,Council_6,2,2,2,556.6,201.3,1939,589604
Suburb_37,4,u,PI,Agent_24,Eastern Metro,10982,6.4,Council_12,3,1,2,,182.8,2010,616915
Suburb_6,4,h,PI,Agent_18,Western Metro,4728,7.4,Council_19,3,3,1,563.5,174.9,,675752
Suburb_39,3,h,S,Agent_5,Southern Metro,825,14,Council_5,2,2,3,727.6,53.6,1961,419788
Suburb_25,4,h,S,Agent_24,South-Eastern Metro,4007,6,Council_16,4,1,3,,143.8,1916,626734
Suburb_26,4,h,S,Agent_2,Western Metro,11256,3.4,Council_16,3,2,,635,79.4,1951,719383
Suburb_4,1,t,VB,Agent_15,Eastern Metro,13115,8.6,Council_19,0,1,2,,147.8,1903,395006
Suburb_25,2,h,PI,Agent_5,South-Eastern Metro,1678,4.1,Council_7,2,3,3,1266.2,20,1916,484554
Suburb_30,1,t,SA,Agent_17,Western Metro,7225,3.8,Council_5,1,3,1,414.8,,,324549
Suburb_24,4,h,VB,Agent_11,Western Metro,3417,1.7,Council_12,4,1,0,561.1,,,797007
Suburb_4,3,u,S,Agent_11,Western Metro,10411,1.9,Council_12,3,3,0,,172.1,,762178
Suburb_21,4,t,S,Agent_17,Eastern Metro,11819,2,Council_9,5,1,2,376.8,128.8,,627265
Suburb_38,3,h,SP,Agent_19,Southern Metro,14450,19,Council_17,,2,3,502.3,,1954,407552
Suburb_29,2,h,SA,Agent_10,Eastern Victoria,5646,2,Council_17,1,2,0,,84.9,,721233
Suburb_6,1,u,S,Agent_25,Northern Metro,4838,4.1,Council_6,2,1,2,,162,,442680
Suburb_39,5,h,S,Agent_13,Eastern Metro,4992,7.5,Council_17,5,3,1,631.6,,2001,820640
Suburb_39,2,t,S,Agent_5,South-Eastern Metro,11537,11.3,Council_5,2,3,1,5.2,,1905,557658
Suburb_7,1,h,PI,Agent_1,Southern Metro,6953,12,Council_9,2,2,2,1025.8,,1982,
Suburb_33,2,h,SA,Agent_6,South-Eastern Metro,830,4.8,Council_1,1,,,737.9,,,475461
Suburb_17,5,h,VB,Agent_18,South-Eastern Metro,14240,8.4,Council_8,5,3,0,,66.7,1993,892405
Suburb_24,2,u,PI,Agent_14,South-Eastern Metro,2009,7.3,Council_21,3,2,0,,128.4,1994,523558
Suburb_18,5,t,S,Agent_9,Eastern Metro,13958,8.1,Council_10,6,3,1,,160.6,1984,695161
Suburb_32,3,h,SP,Agent_13,Northern Metro,2847,8.8,Council_15,2,2,1,916.8,,,676859
Suburb_40,5,u,PI,Agent_21,Western Victoria,8302,10.1,Council_3,5,1,2,1745.4,,,776370
